location,size,society,total_sqft,bath,balcony,price
Rajaji Nagar,3,Brway G,1640,3,2,229
Jalahalli West,2,,782,2,2,55.68
Devanahalli,2,Oznuean,1260,2,2,66.78
Lakshmiamma Garden,3,,1800,3,3,120
Byatarayanapura,3,Reeroce,1413,2,2,75
Whitefield,2,Sonviik,1116,2,1,51.91
Electronic City,3,DSgmax ,1530,2,1,45.9
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Kengeri,3,Vaens G,1540,2,3,64
Thanisandra,3,,1436,3,1,74.75
Malleshwaram,2,,1100,2,2,75
Gandhi Bazar,6,,1020,6,1,370
Thanisandra,3,Moity S,1427,3,2,120
Akshaya Nagar,3,HiahsLa,2061,3,1,200
Shampura,4,,2650,4,2,150
Devanahalli,3,Sabixtt,1282,2,2,68.52
Kadugodi,2,,1050,2,1,34
LB Shastri Nagar,3,Sragei ,1600,3,2,65
Vajarahalli,2,,945,2,1,54
Hormavu,2,SyidaCr,1500,2,1,78
Gandhi Bazar,6,,1020,6,1,370
Peenya,3,Jahts H,1870,3,3,110
Gandhi Bazar,6,,1020,6,1,370
Electronic City,2,Itelaa ,880,1,1,16.5
Gandhi Bazar,6,,1020,6,1,370
Kudlu Gate,3,Srier P,1535,3,2,83
Kanakpura Road,2,Wiowsri,950,2,1,57
Devanahalli,2,Derdsig,1360,2,1,65
Bommasandra Industrial Area,3,,1280,3,1,50.4
Chandra Layout,3,TiaksAa,1260,2,2,85.05
Gandhi Bazar,6,,1020,6,1,370
Yelahanka,5,LedorSa,3050,5,1,213
Kasavanhalli,3,HMwerCo,1563.05,3,1,105
ISRO Layout,2,,1000,2,1,60
Anandapura,2,ViensRK,1167,2,1,43.76
Vishveshwarya Layout,7,,4000,7,2,225
Kothanur,3,Somumys,1828,3,2,110
Kengeri Satellite Town,2,HoiewLa,890,2,1,35
Basavanapura,3,Dwity T,1612,3,3,46.74
Gandhi Bazar,6,,1020,6,1,370
Mysore Road,3,Brama P,1710,4,2,91.31
Kannamangala,2,VBownre,957,2,1,58
 Devarachikkanahalli,3,,1250,2,3,44
Sanjeevini Nagar,3,Betatsi,2795,4,3,235
Hulimavu,2,Prcan P,1125,2,2,50
Electronic City Phase II,2,Sryalan,1020,2,1,30.6
Kalena Agrahara,2,,1200,2,2,50
Thanisandra,3,Soitya ,1735,3,3,135
Thanisandra,3,G conTh,2050,3,1,145
Gandhi Bazar,6,,1020,6,1,370
Yarandahalli,3,,1350,2,3,48
Hosa Road,2,SStusan,1063,2,1,32
Keshava Nagar,3,ETens G,1904,3,1,150
Gandhi Bazar,6,,1020,6,1,370
RMV Extension,3,Hohnari,2000,3,1,175
Tejaswini Nagar,3,Naods W,1425,2,2,75
Electronic City,3,GMown E,1500,2,1,64.5
Electronic City,2,GMown E,1060,2,1,60
Jai Bheema Nagar,3,Sancyra,1470,2,2,70
Kothnur Narayanapura,6,,1300,6,0,99
Attibele,1,Jae 1hu,450,1,1,11
Electronic City,2,Prarkun,1152,2,1,64.5
Electronic City,3,GMown E,1350,2,1,56
CV Raman Nagar,3,Srshq T,1550,3,3,65
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Malleshwaram,1,Utntspa,705,1,2,67
Electronic City,2,GMown E,770,1,1,36
Hulimavu,2,Aniona ,1242,2,3,51
Hebbal Kempapura,3,Goateds,1700,3,2,155
Thanisandra,3,Soitya ,2144,3,2,145
Vijayanagar,3,Saahaat,1704,3,2,110
Electronic City,2,GMown E,1070,2,1,52
Gandhi Bazar,6,,1020,6,1,370
Jakkuru Layout,2,,1340,2,2,55.7
Electronic City,2,GMown E,1025,2,1,46
Marathahalli,2,VRave E,1200,2,2,52
Gandhi Bazar,6,,1020,6,1,370
Pattandur Agrahara,3,MaidoPl,1550,2,3,80
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Marathahalli,2,Aiitya ,1200,2,2,60
Yelahanka,2,PuziaVe,1327,2,2,98
Kothanur,2,,1186,2,2,58
Gandhi Bazar,6,,1020,6,1,370
HSR Layout,3,NRosete,1400,3,2,56
Nagasandra,2,,980,2,1,48
EPIP Zone,2,,1285,2,2,82
Langford Town,3,,912,2,1,70
Whitefield,2,Sancya ,1225,2,2,47.6
Whitefield,2,,1075,2,1,53
Kadugodi,3,MSingco,1260,2,2,54
Yelahanka,3,Pyikad ,1282,2,2,48.7
Kogilu,3,CaIRSCr,1909,3,2,88
Panathur,2,Prcesvy,1359,2,1,87
Nagondanahalli,2,,1207,2,2,43.5
Gandhi Bazar,6,,1020,6,1,370
1st Block Jayanagar,4,,2850,4,1,428
Kammasandra,3,Emstael,1595,3,2,65
"Off Sarjapur Road, ",3,,1798,3,2,89
Electronics City Phase 1,3,SNdri N,1475,3,2,78.29
Tala Cauvery Layout,3,HodhiSa,1580,3,3,100
Dasarahalli,2,Syonyph,1295,2,1,65
Gandhi Bazar,6,,1020,6,1,370
Electronic City,1,Itvir M,589,1,1,27
Ngef Layout,3,,1415,3,3,78
Sarjapur  Road,3,Klark L,1787,3,2,98.29
Sarjapur  Road,3,Klark L,1787,3,2,125
Koramangala,3,Piityra,1475,2,3,90
"Lakshminarayanapura, Electronic City Phase 2",4,,2000,4,1,75.5
Sarjapur  Road,2,AsastDe,984,2,1,44.28
Muthurayya Swamy Layout,3,MacleK ,2405,4,2,260
7th Phase JP Nagar,2,Brnia G,1080,2,2,72
Gandhi Bazar,6,,1020,6,1,370
Hebbal,3,,1900,3,2,119
Dommasandra,2,,805,2,1,22.14
Budigere,2,PrityTr,1153,2,2,56.4
Dodda Nekkundi Extension,2,AlEcone,1148,2,2,60
Mylasandra,2,Laowsba,1110,2,2,55
Electronic City,2,Saave R,1100,2,2,42
Kalyan nagar,2,Anave S,1290,2,2,110
Dr Shivarama Karantha Nagar,3,,1500,2,1,65
Bank Of Baroda Colony,2,,1080,2,2,39
Vijayanagar,3,Saityat,1933,3,1,129
Gandhi Bazar,6,,1020,6,1,370
Kullappa Colony,2,,1060,2,2,60
Chandapura,1,SunceEs,645,1,1,16.45
Gandhi Bazar,6,,1020,6,1,370
Chandapura,1,SunceEs,645,1,1,16.45
Ashwath Nagar,3,SJcerpe,1644,3,3,84
Ncpr Industrial Layout,2,Supams ,1285,2,3,72.5
Gandhi Bazar,6,,1020,6,1,370
Electronic City,2,CoapeSo,910,2,1,40
Kothanur,3,Bisic C,1577,3,1,70
Gandhi Bazar,6,,1020,6,1,370
OMBR Layout,3,Inntsa ,2420,3,2,185
Chandapura,2,KHityry,800,1,1,20
Anand Nagar,2,,1060,2,2,55
7th Phase JP Nagar,2,BriumMi,1270,2,2,93
Shree Ananth Nagar Layout,2,,900,2,2,22.5
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Sarjapur  Road,2,,1025,2,2,36
Electronic City,2,Prarkun,1108,2,1,63
Gandhi Bazar,6,,1020,6,1,370
Coffee Board Layout,3,Calyxy ,3045,3,2,170
Gandhi Bazar,6,,1020,6,1,370
Vijayanagar,3,JJortom,1500,3,2,75.5
Raja Rajeshwari Nagar,2,GrrvaGr,1295,2,2,43.9
Budigere,2,PrityTr,1162,2,1,59.9
Sarjapur  Road,2,Usquaya,1035,2,2,49.2
Gandhi Bazar,6,,1020,6,1,370
KUDLU MAIN ROAD,3,,1464,3,2,46
Hennur Road,3,DSapeSk,1866,2,2,61.58
Geleyara Balaga Layout,2,Jahtsa ,700,1,1,26
Kalena Agrahara,3,Prillot,1804,3,2,120
Sarjapur,2,,913,2,1,32
Talaghattapura,3,Sodgere,1868,3,2,131
Kengeri Satellite Town,2,,883,2,1,45
Gandhi Bazar,6,,1020,6,1,370
Kogilu,3,,1664,2,3,73.95
Hegde Nagar,3,SoitaCa,2026,3,2,132
Balagere,2,Soestin,1210,2,1,80.9
Gandhi Bazar,6,,1020,6,1,370
Kadugodi,3,Alestrb,1762,3,3,91.45
Jigani,3,DLhtsen,1252,3,3,55
Gollarapalya Hosahalli,2,Mauner ,861,2,1,34.5
7th Phase JP Nagar,3,Brnia G,1420,2,1,100
Gandhi Bazar,6,,1020,6,1,370
Electronics City Phase 1,3,GaicaVe,1490,3,1,78.8
Bisuvanahalli,3,,1075,2,1,46
Old Madras Road,3,Saesttt,1425,2,2,94
Kalena Agrahara,2,Nae 2El,1200,2,1,40
Kaggadasapura,3,,1280,2,2,56
Silver Springs Layout,2,Bhinglv,1084,2,2,50
Chandapura,2,SunceEs,1015,2,2,25.88
Kanakpura Road,2,GolusLi,1017,2,1,51.25
Haralur Road,2,,1027,2,2,44
Electronic City Phase II,2,Coush W,1069,2,2,45
Hebbal,2,Prersis,1349,2,1,98.2
9th Phase JP Nagar,2,NaensGa,1005,2,1,50
Jakkur,2,Arzzo P,1417,2,3,75
Gandhi Bazar,6,,1020,6,1,370
Maruthi Sevanagar,2,SMikaay,950,2,2,47
RMV 2nd Stage,4,Prave E,2000,4,0,120
Gandhi Bazar,6,,1020,6,1,370
Sarjapur  Road,4,Ahriaup,1863,3,2,104
Singasandra,2,Priewhi,1010,2,1,29.5
Kalena Agrahara,3,Shodsth,1425,2,1,70
Vijayanagar,3,Swadeh ,1450,3,0,100
Kothanur,3,Somumys,1847,3,2,105
AECS Layout,2,Soran U,1100,2,3,45
Kanakpura Road,1,PrarePa,525,1,1,26
Mallasandra,3,Puestig,1665,3,2,95
Begur,4,Prntsrt,1664,4,3,65
JP Nagar,3,Maerar ,1850,3,3,150
Panathur,2,Vaesh T,1438,2,3,100
Sunder Ram Shetty Nagar,3,MaisePa,1560,3,3,115
Yelahanka,2,,1350,2,1,55.55
Kanakpura Road,3,JRrnauv,1550,3,3,67
Malleshpalya,2,,1140,2,2,46.5
Gandhi Bazar,6,,1020,6,1,370
Kodathi,2,,850,2,2,27
Whitefield,2,Gotis A,1280,2,2,75
Munnekollal,2,,1170,2,2,52
Motappa Layout,2,Puodse ,1113,2,1,51
Hennur Road,2,Mileeou,1385,2,1,83.09
Electronic City,2,Prarkun,1128,2,1,65
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Rajaji Nagar,3,PhestOn,2390,3,2,415
Gandhi Bazar,6,,1020,6,1,370
Haralur Road,3,NRowse ,1464,3,2,56
Manayata Tech Park,2,,1200,2,2,55
Kaval Byrasandra,2,Abncy R,1200,2,2,52
Kaggalipura,3,Baowsig,1150,2,1,55
Basavanna Nagar,3,Itala A,1645,3,2,95
Sarjapur  Road,2,,1000,2,1,67
Gandhi Bazar,6,,1020,6,1,370
6th Phase JP Nagar,2,HMinebo,1192,2,2,74
Ulsoor,3,K borja,2135,3,2,215
Whitefield,2,Oreldhi,1173,2,1,58
Uttarahalli,2,Sungspr,1020,2,2,45
Thigalarapalya,4,Prtanha,3122,6,2,230
Somasundara Palya,3,,1600,3,3,64
Gandhi Bazar,6,,1020,6,1,370
Muneshwara Nagar,2,,1230,2,3,48
 Devarachikkanahalli,2,Clntsrt,1250,2,2,40
Kalena Agrahara,2,PuamaPa,1325,2,2,76
7th Phase JP Nagar,3,Brngsal,1850,3,1,150
Kanakpura Road,1,PrarePa,525,3,1,21.53
Basaveshwara Nagar,2,,1200,2,2,65
Gandhi Bazar,6,,1020,6,1,370
Bommasandra,3,SSestth,1260,3,1,49.36
Prashanth Nagar,3,Vancy R,1800,3,0,150
Gandhi Bazar,6,,1020,6,1,370
Ardendale,2,Miwel M,1100,2,1,43.25
Harlur,2,SrEndPo,1508,2,1,77
Sampigehalli,3,Puens G,1592,3,2,75
Akshaya Nagar,2,SagasSa,1388,2,3,57
Electronic City Phase II,1,SNbay G,630,1,1,28.35
Gandhi Bazar,6,,1020,6,1,370
Banashankari3rd stage bigbazar,3,,1762,3,1,125
Bagalur Main Road,2,,950,2,2,50
Kodihalli,4,Soianal,3252,5,3,335
Magadi Road,2,Vrenty ,1116,2,1,50
Narayanapura,2,AriosHe,1308,2,2,89.04
MS Pallya,3,,1200,3,0,90
Gandhi Bazar,6,,1020,6,1,370
Bannerghatta Road,1,,500,1,1,18.5
Hennur,2,SLureSi,1075,2,1,52
Chandapura,1,Siissi ,530,1,0,11.66
Bellandur,2,,1205,2,3,66
5th Phase JP Nagar,2,Mangsr ,1075,2,2,60
KR Puram,2,HovasTe,930,2,2,39
Balagere,2,Exncene,1380,2,1,60
Hebbal,4,Prersis,2483,5,2,212
Kodigehaali,2,Shyas S,1166,2,2,55
Bannerghatta Road,2,NadelCi,1050,2,1,65
Gopalapura,3,Sothadr,2023.71,3,2,275
Begur Road,2,Dhalsh ,1200,2,2,46.8
Lakshminarayana Pura,3,Puarent,1600,2,1,108
Billekahalli,3,MaionPa,1935,3,2,110
8th Phase JP Nagar,1,Maian M,451,1,0,29.9
Electronic City,3,ShstaAl,1800,3,2,95
Jalahalli,3,Shard T,1400,3,0,77
Hegde Nagar,3,SoitaCa,1801,3,2,115
Mahadevpura,2,Neagar ,1451,2,2,90
Gandhi Bazar,6,,1020,6,1,370
Begur Road,2,Dhalsh ,1160,2,2,44
Kengeri,2,,1000,2,1,25
Kanakpura Road,2,Wiowsri,950,2,1,40
"Hoodi Circle, ",3,,1629,3,2,79
Vijayanagar,3,,1580,2,0,134
Vijayanagar,3,Saityat,1826,3,2,121
7th Phase JP Nagar,2,Eladero,1245,2,1,94
Raja Rajeshwari Nagar,2,Lancyey,1145,2,2,45.79
Sompura,2,Suiseit,825,2,1,33
Yeshwanthpur,3,Aroomba,1693,3,3,108
Electronics City Phase 1,2,Courf T,1113.27,2,2,53
Ashirvad Colony,2,VMowsea,1460,2,1,58
Doddathoguru,2,S onsMa,1050,2,1,32
Dodda Nekkundi,2,Tuentpa,1260,2,2,55
K N Extension,6,,700,3,2,120
Hosur Road,2,Tovesee,1656,2,1,120
Chandapura,3,Vailsaf,1208,3,1,45
Whitefield,3,BrlisCo,1910,3,2,161
Whitefield,4,Haestt ,3252,4,1,230
Gandhi Bazar,6,,1020,6,1,370
Gokula Extension,4,,1200,4,1,175
7th Phase JP Nagar,2,BriumMi,1175,2,1,82
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Rajaji Nagar,3,PhestOn,2390,3,2,410
Rajaji Nagar,7,,12000,6,3,2200
Gandhi Bazar,6,,1020,6,1,370
Kengeri,2,VBvenal,750,2,1,38
Gandhi Bazar,6,,1020,6,1,370
Kanakpura Road,3,JRrnauv,1550,3,3,64.5
Amco Colony,3,Hoeatan,1760,3,2,88
Billekahalli,2,Asity S,1125,2,2,62
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Bommasandra Industrial Area,2,,1090,2,2,31.48
Gandhi Bazar,6,,1020,6,1,370
Budigere,3,PrityTr,1991,4,2,103
Bommasandra,2,DSoodil,1060,2,1,26.5
Ambalipura,2,SJarkte,1105,2,1,75
Hoodi,2,Dhgraas,985,2,2,67
Gandhi Bazar,6,,1020,6,1,370
Balagere,3,HiqueMa,1590,3,2,79
CV Raman Nagar,2,Srshq T,1120,2,2,55
Samethanahalli,2,SPontna,1069,2,1,55
Marathahalli,3,Prionad,1933,3,2,140
Hosur Road,2,PuendWe,1194,2,0,69
Brookefield,2,Danna S,1150,2,3,69
Yelenahalli,2,,1240,2,2,47.12
Raja Rajeshwari Nagar,2,GrrvaGr,1419,2,2,48.1
Gandhi Bazar,6,,1020,6,1,370
Richmond Town,3,Bltonin,2150,4,2,240
Suddaguntepalya,3,MSanaer,1450,3,2,55
Udayapur Village,3,Plowsri,1630,3,2,68.29
Dasanapura,2,Tavenew,708,1,1,40
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Bellandur,2,Ocavees,1250,2,1,76
7th Phase JP Nagar,3,Brnia G,1400,2,1,95
Sarjapur  Road,3,,1670,2,3,57
Ardendale,3,SoystAm,1750,3,2,100
Vittasandra,2,Prlla C,1404,2,1,71
Hoodi,3,SMaxyay,1715,2,2,95
Electronic City,1,Prarkun,630,1,1,34.65
Harlur,3,SosicCl,1752.12,3,2,135
Hulimavu,3,,1650,3,2,78
Raja Rajeshwari Nagar,2,GrrvaGr,1295,2,1,55.47
Gandhi Bazar,6,,1020,6,1,370
Sarjapur  Road,2,PualeSk,1346,2,1,74.03
Gandhi Bazar,6,,1020,6,1,370
Hormavu,2,ElavuHo,1150,2,2,55
Gandhi Bazar,6,,1020,6,1,370
Chandapura,3,SunceEs,1190,2,2,30.35
AECS Layout,3,DSutyng,1620,3,2,98
Marathahalli,2,,950,2,1,46.96
1 Giri Nagar,11,Bancyri,5000,9,3,360
Harlur,3,SrEndPo,2450,3,0,120
Electronic City Phase II,3,Sryalan,1220,2,1,35.23
Hoysalanagar,2,RKntsrt,850,2,1,30
Padmanabhanagar,2,,1020,2,2,63
Chikkalasandra,2,,1100,2,2,50
Defence Colony,2,Vantspa,1150,2,2,126
Hebbal,3,Mahosya,1760,2,2,130
Ambalipura,3,,1800,3,3,110
Akshaya Nagar,2,,1070,2,1,54
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Amruthahalli,2,Prowsi ,900,2,1,40
ITI Employees Layout,4,,1200,4,1,230
Whitefield,2,SMuilan,1130,2,1,42.16
Koramangala,2,Proodt ,1320,2,1,165
Kodigehalli,2,,1270,2,1,98
Patelappa Layout,2,Sryamar,1200,2,1,62
Ring Road Nagarbhavi,4,,4800,4,1,235
NS Palya,2,,1200,2,1,74
Subramanyapura,2,Prldsri,929,2,0,50.17
RMV 2nd Stage,4,LiaveEn,1150,4,2,260
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
KUDLU MAIN ROAD,3,,1464,3,2,56
7th Phase JP Nagar,4,,3600,4,3,400
Gandhi Bazar,6,,1020,6,1,370
Chikkalasandra,2,,1208,2,1,49
Hebbal Kempapura,2,Vrensn ,1130,2,2,60
Surabhi Layout,3,VDdonel,1753,3,2,120
Old Madras Road,5,Brica E,4500,7,3,337
Gandhi Bazar,6,,1020,6,1,370
Hoodi,2,GoAirej,1196,2,2,94.42
5th Phase JP Nagar,2,Prenty ,1150,3,3,52.5
Electronic City,2,Prarkun,1128,2,1,63
Omkar Nagar,2,Shinei ,1000,2,1,53
Yelahanka,2,Apows M,1035,2,1,45
Kereguddadahalli,2,,950,2,1,32
Bisuvanahalli,3,Prityel,1075,2,1,36
Whitefield,2,SVineun,1040,2,1,48.5
Gandhi Bazar,6,,1020,6,1,370
Lingadheeranahalli,3,Soiewre,1511,3,1,95
Silk Board,3,,1300,3,1,58
Hoodi,3,Caycend,1545,3,1,68.75
Shampura,1,,375,2,0,26
Vidyaranyapura,2,,1062,2,3,38
Kada Agrahara,2,,1115,2,1,40
JP Nagar,2,DSvvyx ,1000,2,1,35
Kambipura,2,Prrtht ,883,2,1,45
Sarjapur  Road,2,Brareio,1195,2,1,70
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Vittasandra,2,Prlla C,1246,2,1,67
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Kashi Nagar,4,,1600,4,1,80
Haralur Road,4,SNnia E,2805,5,3,154
Begur Road,3,,1584,3,3,65
Gandhi Bazar,6,,1020,6,1,370
Hosur Road,3,,1175,2,2,48
"Yemlur, Old Airport Road, ",3,,1595,3,2,115
VHBCS Layout,2,OlarkLa,1353,2,2,110
Electronic City,3,Prarkun,1599,3,2,125
Whitefield,2,SuMTBPr,1150,2,1,70
Jakkur,4,Lecco C,5230,6,1,465
KR Puram,2,Jahidva,1155,2,2,42.74
Ittamadu,1,,1200,2,0,85
Electronic City Phase II,2,,1000,2,1,25
Thanisandra,4,,3000,4,1,120
Rajiv Nagar,3,PuoodSk,1867,3,1,160
Ramagondanahalli,2,ViistLa,1251,2,1,47
Gattahalli,2,Arano M,1028,2,1,45.5
Arekere,2,Amngsag,1222,2,2,45
Bannerghatta Road,3,SNity S,1170,2,1,66
Hebbal,3,Kacesh ,2400,4,1,245
Ramanjaneyanagar,3,,1385,2,2,48.48
HSR Layout,2,SrisePo,1372,2,1,68
Magadi Road,3,Bilya A,1282,2,2,49
Mico Layout,9,Amsomun,5000,9,3,210
Gandhi Bazar,6,,1020,6,1,370
Kanakpura Road,2,Shdhia ,1135,2,1,39.73
Whitefield,3,,1768,3,2,101
Byatarayanapura,3,Foconna,1325,2,1,90
Electronic City,3,Prarkun,1599,3,2,99
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Uttarahalli,2,,1286,2,2,63
Kammanahalli,5,,2845,5,1,140
K G Colony,3,Aincy R,1600,2,1,50
Hebbal,3,Brium C,3450,5,2,260
Munnekollal,2,Sadhii ,1102,2,2,53.67
Yelahanka,2,Sahanra,1350,2,2,54
Banashankari,3,,1200,2,2,42
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Chikkabanavar,2,,950,2,1,40
Kanakpura Road,1,PrarePa,525,1,1,27.25
Attibele,2,Jae 2hu,656,2,1,25
Gandhi Bazar,6,,1020,6,1,370
3rd Block Hrbr Layout,2,Icncy R,1056,2,1,80
Bannerghatta Road,1,Hiatei ,595,1,1,33.32
Ittamadu,2,,1080,2,2,50
7th Phase JP Nagar,3,Puarero,2225,3,1,160
Bommasandra,2,DSoodil,1126,2,1,28.15
Electronics City Phase 1,3,GaicaVe,1490,3,1,84
Gandhi Bazar,6,,1020,6,1,370
Sarjapur  Road,3,PuineSu,1550,3,3,100
,3,Grare S,1600,3,2,86
Ashwini layout,2,,1160,2,1,55
Gandhi Bazar,6,,1020,6,1,370
Sarjapur  Road,3,Supleon,2100,3,2,125
Vittasandra,2,Prlla C,1404,2,1,69.3
Gandhi Bazar,6,,1020,6,1,370
Marathalli bridge,3,,1544,3,3,120
Banashankari Stage III,3,Pridsi ,1305,2,1,58.7
Marathahalli,2,Aahts H,1230,2,2,80
Gandhi Bazar,6,,1020,6,1,370
Harlur,3,,1460,3,1,73
Gottigere,2,,967,2,3,45
Gandhi Bazar,6,,1020,6,1,370
Hormavu,1,Kolisl ,715,1,2,46
Whitefield,3,Toindls,2500,3,2,313
Dooravani Nagar,3,Puceswn,1578,3,1,180
Mysore Road,2,,1020,2,1,48.95
Jigani,2,i1odsne,1020,2,1,40
Koramangala,2,Ansna K,1253,2,1,102
JCR Layout,2,ARnamru,1180,2,2,42
Nehru Nagar,2,Veyalin,961,2,2,38
Kanakapura,3,,1419,3,3,75
Harlur,3,SomonCi,1709,3,2,150
Gandhi Bazar,6,,1020,6,1,370
Venkatapura,1,,416,1,1,18.5
Sanjay nagar,2,,1100,2,2,98
HSR Layout,3,,1430,2,1,65
